dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,50.931472,10.552317,2.729357,2.526281,1.151707,-0.049453,3.344973
0.020000,50.881555,10.541926,2.780344,2.549334,1.152632,0.046288,3.348671
0.020000,50.831228,10.531255,2.831791,2.572321,1.149339,-0.164662,3.352393
0.020000,50.780492,10.520299,2.883696,2.595275,1.147717,-0.081090,3.356138
0.020000,50.729349,10.509054,2.936060,2.618203,1.146388,-0.066455,3.359908
0.020000,50.677803,10.497516,2.988882,2.641103,1.144976,-0.070608,3.363700
0.020000,50.625855,10.485680,3.042162,2.663972,1.143485,-0.074582,3.367514
0.020000,50.573507,10.473543,3.095898,2.686811,1.141917,-0.078376,3.371351
0.020000,50.520763,10.461099,3.150090,2.709616,1.140277,-0.081990,3.375208
0.020000,50.467624,10.448345,3.204738,2.732387,1.138569,-0.085426,3.379085
0.020000,50.414094,10.435277,3.259840,2.755123,1.136795,-0.088685,3.382983
0.020000,50.360174,10.421890,3.315397,2.777823,1.134960,-0.091768,3.386899
0.020000,50.305868,10.408181,3.371406,2.800484,1.133066,-0.094677,3.390834
0.020000,50.251178,10.394146,3.427869,2.823106,1.131118,-0.097413,3.394787
0.020000,50.196107,10.379779,3.484783,2.845715,1.130448,-0.033489,3.398757
0.020000,50.140657,10.365078,3.542148,2.868271,1.127801,-0.132336,3.402743
0.020000,50.084832,10.350039,3.599964,2.890774,1.125126,-0.133781,3.406745
0.020000,50.028634,10.334658,3.658228,2.913233,1.122972,-0.107676,3.410761
0.020000,49.972067,10.318930,3.716942,2.935682,1.122457,-0.025752,3.414792
0.020000,49.915132,10.302852,3.776104,2.958075,1.119635,-0.141091,3.418835
0.020000,49.857833,10.286421,3.835712,2.980402,1.116364,-0.163560,3.422892
0.020000,49.800173,10.269632,3.895766,3.002728,1.116300,-0.003205,3.426960
0.020000,49.742155,10.252482,3.956266,3.024980,1.112604,-0.184828,3.431038
0.020000,49.683782,10.234968,4.017210,3.047191,1.110538,-0.103255,3.435127
0.020000,49.625057,10.217086,4.078597,3.069375,1.109173,-0.068276,3.439225
0.020000,49.565983,10.198832,4.140427,3.091485,1.105537,-0.181809,3.443331
0.020000,49.506563,10.180204,4.202698,3.113578,1.104626,-0.045521,3.447444
0.020000,49.446800,10.161198,4.265410,3.135601,1.101140,-0.174330,3.451564
0.020000,49.386698,10.141811,4.328562,3.157584,1.099180,-0.097966,3.455690
0.020000,49.326259,10.122039,4.392153,3.179528,1.097203,-0.098888,3.459820
0.020000,49.265488,10.101880,4.456181,3.201400,1.093576,-0.181333,3.463954
0.020000,49.204386,10.081330,4.520646,3.223250,1.092515,-0.053032,3.468091
0.020000,49.142957,10.060387,4.585546,3.245036,1.089298,-0.160868,3.472230
