dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,50.689316,8.312130,2.987149,2.444749,1.041150,0.065731,3.402743
0.020000,50.641701,8.299302,3.036461,2.465599,1.042511,0.068052,3.406745
0.020000,50.593736,8.286174,3.086191,2.486487,1.044388,0.093851,3.410761
0.020000,50.545420,8.272740,3.136340,2.507442,1.047736,0.167378,3.414792
0.020000,50.496754,8.258998,3.186908,2.528425,1.049185,0.072447,3.418835
0.020000,50.447741,8.244942,3.237897,2.549432,1.050316,0.056575,3.422892
0.020000,50.398381,8.230570,3.289307,2.570517,1.054259,0.197139,3.426960
0.020000,50.348674,8.215877,3.341140,2.591620,1.055161,0.045084,3.431038
0.020000,50.298623,8.200860,3.393395,2.612770,1.057523,0.118112,3.435127
0.020000,50.248228,8.185515,3.446075,2.633981,1.060550,0.151354,3.439225
0.020000,50.197491,8.169837,3.499179,2.655215,1.061691,0.057050,3.443331
0.020000,50.146412,8.153824,3.552709,2.676520,1.065233,0.177097,3.447444
0.020000,50.094992,8.137471,3.606667,2.697852,1.066621,0.069392,3.451564
0.020000,50.043234,8.120775,3.661051,2.719240,1.069379,0.137879,3.455690
0.020000,49.991137,8.103732,3.715865,2.740683,1.072177,0.139931,3.459820
0.020000,49.938703,8.086339,3.771108,2.762156,1.073608,0.071523,3.463954
0.020000,49.885934,8.068591,3.826782,2.783702,1.077303,0.184774,3.468091
0.020000,49.832829,8.050487,3.882888,2.805285,1.079188,0.094234,3.472230
0.020000,49.779392,8.032021,3.939426,2.826914,1.081420,0.111635,3.476370
0.020000,49.725622,8.013191,3.996398,2.848598,1.084216,0.139783,3.480510
0.020000,49.671520,7.993993,4.053805,2.870347,1.087447,0.161550,3.484648
0.020000,49.617088,7.974424,4.111648,2.892133,1.089288,0.092018,3.488785
0.020000,49.562327,7.954480,4.169927,2.913973,1.091985,0.134853,3.492919
0.020000,49.507238,7.934159,4.228644,2.935866,1.094681,0.134812,3.497049
0.020000,49.451823,7.913457,4.287801,2.957814,1.097378,0.134853,3.501174
0.020000,49.396081,7.892371,4.347397,2.979815,1.100077,0.134970,3.505293
0.020000,49.340015,7.870898,4.407434,3.001871,1.102780,0.135155,3.509405
0.020000,49.283626,7.849035,4.467914,3.023981,1.105488,0.135399,3.513509
0.020000,49.226913,7.826780,4.528837,3.046145,1.108202,0.135695,3.517605
0.020000,49.169880,7.804128,4.590204,3.068363,1.110923,0.136036,3.521690
0.020000,49.112525,7.781078,4.652017,3.090636,1.113651,0.136415,3.525764
0.020000,49.054852,7.757626,4.714276,3.112964,1.116388,0.136824,3.529826
0.020000,48.996860,7.733770,4.776983,3.135347,1.119133,0.137256,3.533875
0.020000,48.938551,7.709508,4.840139,3.157784,1.121887,0.137705,3.537910
0.020000,48.879925,7.684837,4.903744,3.180277,1.124650,0.138164,3.541929
0.020000,48.820983,7.659754,4.967801,3.202826,1.127423,0.138627,3.545932
0.020000,48.761727,7.634257,5.032310,3.225432,1.130323,0.145016,3.549918
0.020000,48.702157,7.608344,5.097271,3.248093,1.133031,0.135405,3.553886
0.020000,48.642275,7.582013,5.162688,3.270808,1.135740,0.135450,3.557834
0.020000,48.582080,7.555261,5.228559,3.293578,1.138540,0.140011,3.561762
0.020000,48.521574,7.528086,5.294887,3.316407,1.141433,0.144639,3.565668
0.020000,48.460758,7.500487,5.361673,3.339289,1.144088,0.132723,3.569552
0.020000,48.399632,7.472461,5.428918,3.362227,1.146902,0.140736,3.573412
0.020000,48.338197,7.444007,5.496622,3.385220,1.149665,0.138114,3.577248
0.020000,48.276454,7.415123,5.564787,3.408269,1.152462,0.139862,3.581058
0.020000,48.214403,7.385807,5.633415,3.431372,1.155135,0.133640,3.584841
0.020000,48.152045,7.356058,5.702505,3.454532,1.158009,0.143729,3.588597
